Pašvaldība;Iestādes reģistrācijas Nr.;Iestādes nosaukums;Iestādes veids;Iestādes tips;Pakļautība;Faktiskais dibinātājs;Adreses ATVK kods; Izglītības programmas otrais klasifikācijas līmenis;Izglītības programmas kods;Izglītības programmas nosaukums;1.kursā;2.kursā;3.kursā;4.kursā;Izglītojamo skaits kopā (1.-4.kurss)
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;35b;35b213011;Audiovizuālā māksla un tehnoloģijas;7;2;;;9
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;35b;35b214031;Interjera dizains;;3;;;3
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;35b;35b214041;Reklāmas dizains;7;3;;;10
DAUGAVPILS;2737903595;"Mākslu izglītības kompetences centrs ""Daugavpils Dizaina un mākslas vidusskola SAULES SKOLA""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Daugavpils valstspilsētas pašvaldība;002000;35b;35b214051;Koka izstrādājumu dizains;;1;;;1
DAUGAVPILS;2797002489;"Daugavpils Universitātes aģentūra ""Daugavpils Universitātes Daugavpils medicīnas koledža""";Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Daugavpils Universitāte;002000;35a;35a723001;Māszinības;60;;;;60
DOBELES NOVADS;4535903601;Dobeles Amatniecības un vispārizglītojošā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Dobeles novada pašvaldība;028210;32;32815021;Frizieru pakalpojumi;27;23;11;;61
DOBELES NOVADS;4535903601;Dobeles Amatniecības un vispārizglītojošā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Dobeles novada pašvaldība;028210;33;33483011;Datorsistēmas, datubāzes un datortīkli;26;20;24;18;88
DOBELES NOVADS;4535903601;Dobeles Amatniecības un vispārizglītojošā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Dobeles novada pašvaldība;028210;33;33525011;Autotransports;25;19;11;6;61
DOBELES NOVADS;4535903601;Dobeles Amatniecības un vispārizglītojošā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Dobeles novada pašvaldība;028210;33;33811021;Ēdināšanas pakalpojumi;14;12;8;9;43
DOBELES NOVADS;4535903601;Dobeles Amatniecības un vispārizglītojošā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Dobeles novada pašvaldība;028210;33;33811031;Viesnīcu pakalpojumi;18;10;;;28
DOBELES NOVADS;4535903601;Dobeles Amatniecības un vispārizglītojošā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Dobeles novada pašvaldība;028210;35a;35a346011;Administratīvie un sekretāra pakalpojumi;5;;;;5
JELGAVA;2835303594;Jelgavas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;003000;33;33212011;Taustiņinstrumentu spēle;3;3;2;4;12
JELGAVA;2835303594;Jelgavas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;003000;33;33212021;Stīgu instrumentu spēle;4;;4;1;9
JELGAVA;2835303594;Jelgavas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;003000;33;33212031;Pūšaminstrumentu spēle;3;1;;2;6
JELGAVA;2835303594;Jelgavas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;003000;33;33212041;Sitaminstrumentu spēle;1;2;1;;4
JELGAVA;2835303594;Jelgavas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;003000;33;33212051;Diriģēšana;1;1;;;2
JELGAVA;2835303594;Jelgavas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;003000;33;33212061;Vokālā mūzika;6;3;5;1;15
JELGAVA;2835303594;Jelgavas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;003000;33;33212091;Mūzika;6;2;3;1;12
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;22;22521011;Metālapstrāde;10;6;10;;26
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;22;22811021;Ēdināšanas pakalpojumi;12;6;;;18
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;32;32815021;Frizieru pakalpojumi;20;21;17;;58
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;32a;32a521011;Metālapstrāde;11;;;;11
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;33;33341021;Komerczinības;15;8;;5;28
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;33;33521011;Metālapstrāde;26;21;11;8;66
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;33;33542021;Šūto izstrādājumu ražošanas tehnoloģija;7;11;12;;30
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;33;33811021;Ēdināšanas pakalpojumi;41;39;26;27;133
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;35a;35a815011;Dekoratīvā kosmētika;18;;;;18
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;35b;35b521011;Metālapstrāde;17;;;;17
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;35b;35b54201;Šūto izstrādājumu ražošanas tehnoloģija;18;;;;18
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;35b;35b542021;Šūto izstrādājumu ražošanas tehnoloģija;;9;;;9
JELGAVA;2835903599;"Jelgavas valstspilsētas pašvaldības profesionālā vidusskola ""Jelgavas Amatu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Pašvaldība ; Jelgavas valstspilsētas pašvaldība;003000;35b;35b811021;Ēdināšanas pakalpojumi;32;;;;32
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33346011;Administratīvie un sekretāra pakalpojumi;25;25;23;24;97
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33483011;Datorsistēmas, datubāzes un datortīkli;30;23;27;27;107
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33484011;Programmēšana;29;28;27;24;108
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33525011;Autotransports;46;20;24;26;116
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33543041;Kokizstrādājumu izgatavošana;29;19;14;15;77
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33581041;Zemes ierīcība;24;21;21;15;81
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33582011;Būvdarbi;27;22;11;19;79
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33582031;Siltuma, gāzes un ūdens tehnoloģija;25;27;26;26;104
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33811031;Viesnīcu pakalpojumi;25;23;19;36;103
JELGAVA;2836003567;Jelgavas tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;003000;33;33811041;Restorānu pakalpojumi;23;16;13;;52
JELGAVAS NOVADS;4513902986;Zaļenieku komerciālā un amatniecības vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Jelgavas novada pašvaldība;030550;33;33211031;Restaurācija;15;7;10;5;37
JELGAVAS NOVADS;4513902986;Zaļenieku komerciālā un amatniecības vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Jelgavas novada pašvaldība;030550;35b;35b211031;Restaurācija;10;5;;;15
JELGAVAS NOVADS;4513902986;Zaļenieku komerciālā un amatniecības vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Jelgavas novada pašvaldība;030550;35b;35b346011;Administratīvie un sekretāra pakalpojumi;7;;;;7
JELGAVAS NOVADS;4513902986;Zaļenieku komerciālā un amatniecības vidusskola;Vispārējās izglītības iestāde;Vispārizglītojošā vidusskola;Pašvaldība ; Jelgavas novada pašvaldība;030550;35b;35b621011;Augkopība;13;;;;13
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33214011;Komunikācijas dizains;18;21;16;;55
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33214121;Multimediju dizains;;;;25;25
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33341021;Komerczinības;13;12;14;5;44
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33344021;Grāmatvedība;13;13;5;12;43
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33483011;Datorsistēmas, datubāzes un datortīkli;23;23;19;15;80
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33484011;Programmēšana;23;23;20;11;77
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33582011;Būvdarbi;15;21;9;9;54
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33621011;Augkopība;;11;11;;22
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33811031;Viesnīcu pakalpojumi;10;9;;6;25
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;33;33840111;Loģistika;38;26;16;15;95
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;35b;35b582021;Būvniecība;14;;;;14
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;35b;35b621011;Augkopība;29;;;;29
JĒKABPILS NOVADS;1036003651;Jēkabpils Tehnoloģiju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;031010;35b;35b815001;Skaistumkopšanas pakalpojumi;11;;;;11
JŪRMALA;2935803618;Jūrmalas profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Labklājības ministrija; Sociālās integrācijas valsts aģentūra;004000;22;22542021;Šūto izstrādājumu ražošanas tehnoloģija;6;;;;6
JŪRMALA;2935803618;Jūrmalas profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Labklājības ministrija; Sociālās integrācijas valsts aģentūra;004000;33;33483011;Datorsistēmas, datubāzes un datortīkli;15;;6;;21
JŪRMALA;2936803596;Bulduru Tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Juridiska vai fiziska persona; Sabiedrība ar ierobežotu atbildību Bulduru Tehnikums;004000;33;33582021;Būvniecība;16;13;12;5;46
JŪRMALA;2936803596;Bulduru Tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Juridiska vai fiziska persona; Sabiedrība ar ierobežotu atbildību Bulduru Tehnikums;004000;33;33622001;Dārzkopība;15;11;13;10;49
JŪRMALA;2936803596;Bulduru Tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Juridiska vai fiziska persona; Sabiedrība ar ierobežotu atbildību Bulduru Tehnikums;004000;33;33811021;Ēdināšanas pakalpojumi;29;16;14;11;70
JŪRMALA;2936803596;Bulduru Tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Juridiska vai fiziska persona; Sabiedrība ar ierobežotu atbildību Bulduru Tehnikums;004000;33;33811031;Viesnīcu pakalpojumi;16;8;10;;34
JŪRMALA;2936803596;Bulduru Tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Juridiska vai fiziska persona; Sabiedrība ar ierobežotu atbildību Bulduru Tehnikums;004000;35b;35b215081;Floristika;9;;;;9
JŪRMALA;2936803596;Bulduru Tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Juridiska vai fiziska persona; Sabiedrība ar ierobežotu atbildību Bulduru Tehnikums;004000;35b;35b582021;Būvniecība;8;;;;8
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;33;33211031;Restaurācija;;;2;;2
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;33;33216021;Koka mākslinieciskā apstrāde;13;6;1;12;32
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;33;33525011;Autotransports;27;19;14;10;70
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;33;33543041;Kokizstrādājumu izgatavošana;20;18;9;;47
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;33;33811021;Ēdināšanas pakalpojumi;23;28;15;20;86
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;33;33811031;Viesnīcu pakalpojumi;12;8;6;5;31
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;33;33812011;Tūrisma pakalpojumi;10;5;4;1;20
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;33;33840111;Loģistika;20;13;8;17;58
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;35b;35b211031;Restaurācija;16;;;;16
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;35b;35b525011;Autotransports;10;;;;10
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;35b;35b541011;Pārtikas produktu tehnoloģija;14;;;;14
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;35b;35b541041;Miltu izstrādājumu ražošana;10;;;;10
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;35b;35b543041;Kokizstrādājumu izgatavošana;16;;;;16
KULDĪGAS NOVADS;4136003569;Kuldīgas Tehnoloģiju un tūrisma tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;033200;35b;35b815001;Skaistumkopšanas pakalpojumi;18;;;;18
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;32;32521011;Metālapstrāde;18;17;14;;49
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33341021;Komerczinības;40;45;26;15;126
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33344021;Grāmatvedība;23;19;17;13;72
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33346011;Administratīvie un sekretāra pakalpojumi;12;12;10;6;40
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33483011;Datorsistēmas, datubāzes un datortīkli;26;25;25;24;100
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33484011;Programmēšana;28;29;43;19;119
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33521061;Mehatronika;15;26;24;18;83
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33522011;Enerģētika un elektrotehnika;27;17;17;7;68
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33525011;Autotransports;39;20;19;8;86
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33525051;Aviācijas transports;22;15;12;;49
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33542021;Šūto izstrādājumu ražošanas tehnoloģija;;;12;5;17
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33542021;Šūto izstrādājumu ražošanas tehnoloģijas;26;24;;;50
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33543041;Kokizstrādājumu izgatavošana;10;8;11;3;32
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33582011;Būvdarbi;12;6;7;7;32
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33582021;Būvniecība;17;14;11;10;52
LIEPĀJA;3036003572;Liepājas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;005000;33;33811021;Ēdināšanas pakalpojumi;25;22;22;15;84
